gender	word	n	log_odds_weighted	corpus
FEMALE	так	5076	5.364945097002847	rus
FEMALE	знала	166	5.264040201763723	rus
FEMALE	слышала	139	5.167286497767828	rus
FEMALE	должна	307	5.135433777993927	rus
FEMALE	виновата	154	5.101613437450968	rus
FEMALE	говорите	394	4.850147399832827	rus
FEMALE	могла	227	4.830701455200797	rus
FEMALE	говорила	164	4.82562838479995	rus
FEMALE	матушка	397	4.662890007988326	rus
FEMALE	знаю	1164	4.5708162641073775	rus
FEMALE	очень	1254	4.503009011640621	rus
FEMALE	tante	27	4.4159626723384875	rus
FEMALE	его	2771	4.408726613894342	rus
FEMALE	забыла	118	4.353439342660064	rus
FEMALE	вас	2699	4.348233212922415	rus
FEMALE	милый	274	4.343322638118248	rus
FEMALE	счастлива	115	4.304475621296244	rus
FEMALE	замуж	236	4.281289598064669	rus
FEMALE	мужа	196	4.179465727818048	rus
FEMALE	голубчик	175	4.17773758853574	rus
FEMALE	и	16444	4.105135279625951	rus
FEMALE	все	3300	4.018374499004739	rus
FEMALE	муж	264	3.9928516574048736	rus
FEMALE	видала	100	3.9598978177674766	rus
FEMALE	разве	623	3.9557900665790244	rus
FEMALE	мать	281	3.949829097928461	rus
FEMALE	мама	123	3.934040980120994	rus
FEMALE	аркадьич	21	3.894499769785824	rus
FEMALE	папа	108	3.8670187644553087	rus
FEMALE	это	4592	3.845061858175439	rus
FEMALE	ним	667	3.803293506918071	rus
FEMALE	лелечка	20	3.8006404559226987	rus
FEMALE	с	5550	3.693505304183546	rus
FEMALE	а	8131	3.692861468179788	rus
FEMALE	сестрица	117	3.67741009674533	rus
FEMALE	люблю	546	3.6717889016043497	rus
FEMALE	ему	1211	3.629274437752454	rus
FEMALE	же	3258	3.6223180284239787	rus
FEMALE	тебя	2124	3.605818154294486	rus
FEMALE	баунька	18	3.6056000364396383	rus
FEMALE	него	780	3.5791028088281265	rus
FEMALE	узнала	71	3.5644920180397315	rus
FEMALE	нет	3174	3.55856081937925	rus
FEMALE	согласна	99	3.558011182974806	rus
FEMALE	бы	2534	3.5543413773810473	rus
FEMALE	ли	2303	3.546886886252185	rus
FEMALE	стала	131	3.5318105131634683	rus
FEMALE	любила	112	3.51617074951073	rus
FEMALE	готлиб	17	3.504011408658311	rus
FEMALE	коко	17	3.504011408658311	rus
FEMALE	юлинька	17	3.504011408658311	rus
FEMALE	юша	17	3.504011408658311	rus
FEMALE	у	3452	3.4800849290086093	rus
FEMALE	благодарна	55	3.461343035091972	rus
FEMALE	ведашь	16	3.399388462385488	rus
FEMALE	верила	16	3.399388462385488	rus
FEMALE	нянечка	16	3.399388462385488	rus
FEMALE	платоныч	16	3.399388462385488	rus
FEMALE	боюсь	255	3.3965502132536978	rus
FEMALE	яша	70	3.3820447462673737	rus
FEMALE	мил	112	3.3736264076022	rus
FEMALE	готова	115	3.364953486533177	rus
FEMALE	любить	247	3.350288851642676	rus
FEMALE	милая	168	3.339529343720785	rus
FEMALE	такой	597	3.322478580976185	rus
FEMALE	вася	90	3.317324753854613	rus
FEMALE	только	1996	3.314661439191057	rus
FEMALE	тетенька	78	3.3005297113387724	rus
FEMALE	батюшки	133	3.298914556043299	rus
