id	name	playName	normalizedGenre	libretto	firstAuthor	title	subtitle	numOfCoAuthors	maxDegreeIds	numOfSegments	numOfActs	numOfSpeakers	numOfSpeakersMale	numOfSpeakersFemale	numOfSpeakersUnknown	numOfPersonGroups	numOfP	numOfL	wikipediaLinkCount	wordCountText	wordCountSp	wordCountStage	yearWritten	yearPremiered	yearPrinted	yearNormalized	averageDegree	density	averageClustering	size	maxDegree	numConnectedComponents	diameter	averagePathLength	corpus
fre000813	la-chapelle-zaide	la-chapelle-zaide	Tragedy	FALSE	La Chapelle	Zaïde	Tragédie	0	alamir|zulemar	35	5	8	5	1	2	0	0	1519	NA	14127	13124	0	NA	1681-01-26	1681	1681	3	0.42857142857142855	0.4166666666666667	8	5	1	3	1.7142857142857142	fre
fre000814	la-croix-guerre-comique	la-croix-guerre-comique	Comedy	FALSE	La Croix	La Guerre Comique	Ou la Défense de l'Ecole des Femmes	0	several characters	6	1	9	6	2	1	0	212	479	NA	11713	11021	2	NA	NA	1664	1664	5.777777777777778	0.7222222222222222	0.7936507936507936	9	7	1	3	1.3055555555555556	fre
fre000816	la-fontaine-achille	la-fontaine-achille	Tragedy	FALSE	La Fontaine	Achille	Tragédie	0	achille	10	2	7	5	2	0	0	0	614	NA	5560	5488	19	NA	NA	1683	1683	2.857142857142857	0.47619047619047616	0.7999999999999999	7	6	1	2	1.5238095238095237	fre
fre000817	la-fontaine-astree	la-fontaine-astree	Tragedy	TRUE	La Fontaine	Astrée	Tragédie Lyrique	0	choeur	24	3	24	5	7	12	0	0	768	0	5947	5661	97	NA	1691-11-28	1691	1691	4.166666666666667	0.18115942028985507	0.8262922262922262	24	14	3	3	1.9896373056994818	fre
fre000818	la-fontaine-climene	la-fontaine-climene	Comedy	FALSE	La Fontaine	Climène	Comédie	0	several characters	1	1	12	2	0	10	0	0	739	NA	7121	6994	0	NA	NA	1671	1671	11	1	1	12	11	1	1	1	fre
fre000819	la-fontaine-daphne	la-fontaine-daphne	NA	TRUE	La Fontaine	Daphné	OPÉRA	0	choeur	33	5	54	15	8	31	0	0	951	NA	8982	7890	1591	NA	NA	1682	1682	9.296296296296296	0.17540181691125087	0.7955914648954439	54	28	3	4	2.270739064856712	fre
fre000820	la-fontaine-eunuque	la-fontaine-eunuque	Comedy	FALSE	La Fontaine	L'Eunuque	Comédie	0	phedrie	31	5	15	12	2	1	0	0	2020	NA	19964	18554	17	NA	NA	1654	1654	8.133333333333333	0.580952380952381	0.843923113923114	15	14	1	2	1.4190476190476191	fre
fre000821	la-fontaine-florentin	la-fontaine-florentin	Comedy	FALSE	La Fontaine	Le Florentin	Comédie	0	harpageme	15	1	7	4	3	0	0	1	616	NA	5246	5092	62	NA	1685-07-23	1685	1685	3.142857142857143	0.5238095238095238	0.6666666666666666	7	6	1	2	1.4761904761904763	fre
fre000822	la-fontaine-galatee	la-fontaine-galatee	NA	TRUE	La Fontaine	Galatée	OPÉRA	0	galatee	9	1	11	4	0	7	0	0	330	NA	2644	2443	6	NA	NA	1682	1682	5.2727272727272725	0.5272727272727272	0.7903318903318904	11	10	1	2	1.4727272727272727	fre
fre000823	la-fontaine-ragotin	la-fontaine-ragotin	Comedy	FALSE	La Fontaine	Ragotin ou Le Roman Comique	En Cinq Actes.	0	ragotin	65	5	27	4	5	18	0	4	1671	NA	15767	14936	100	NA	NA	1684	1684	7.925925925925926	0.30484330484330485	0.7792158675199611	27	22	1	3	1.8262108262108263	fre
fre000824	la-fontaine-rieurs-du-beau-richard	la-fontaine-rieurs-du-beau-richard	NA	TRUE	La Fontaine	Les Rieurs du Beau-Richard	Ballet	0	le-marchand	9	1	10	1	0	9	0	0	207	NA	1790	1651	213	NA	NA	1659	1659	1.6	0.17777777777777778	0.42000000000000004	10	5	4	2	1.5	fre
fre000828	la-forge-joueuse-dupee	la-forge-joueuse-dupee	Comedy	FALSE	La Forge	La Joueuse Dupée	Ou l'Intrigue des Académies	0	several characters	7	1	9	8	0	1	0	0	628	NA	7940	6353	45	NA	1664	1664	1664	7.111111111111111	0.8888888888888888	0.9153439153439152	9	8	1	2	1.1111111111111112	fre
fre000832	la-fosse-manlius	la-fosse-manlius	Tragedy	FALSE	La Fosse d'Aubigny	Manlius Capitolinus	Tragédie, Représentée pour la Première Fois en 1698.	0	servilius|manlius	34	5	8	6	2	0	0	0	1490	NA	13320	12979	4	NA	NA	1747	1747	3	0.42857142857142855	0.6083333333333333	8	5	1	3	1.7142857142857142	fre
fre000831	la-fossem-ecole-de-la-raison	la-fossem-ecole-de-la-raison	Comedy	FALSE	La Fosse d'Aubigny	L'Ecole de la Raison	Comédie	0	la-raison	14	1	10	1	3	6	0	0	1689	NA	13751	12500	22	NA	1739-05-20	1739	1739	2.6	0.28888888888888886	0.5111111111111111	10	9	1	2	1.711111111111111	fre
